name,vertical,address,city,state,phone,website,types,lead_score,priority,review_count,rating,on_ubereats,on_grubhub,contact_by_date,latitude,longitude,place_id
ShopRite of Norwalk,restaurants,"360 Connecticut Ave, Norwalk, CT 06854, USA",New York,NY,(203) 838-0504,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=394,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2245,4.3,False,True,2026-01-31,41.1024779,-73.44022629999999,ChIJ1zlqG3Me6IkRQ1yxV9vbFCw
Ralphs Fresh Fare,restaurants,"6290 E Pacific Coast Hwy, Long Beach, CA 90803, USA",Los Angeles,CA,(562) 795-0167,https://www.ralphs.com/stores/grocery/ca/long-beach/marina-shopping-center/703/00178?cid=loc_70300178_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,516,4.3,True,True,2026-01-31,33.7609644,-118.1160976,ChIJCerdWCgw3YARXW9r5bO_gBI
Ralphs,restaurants,"5345 Alton Pkwy, Irvine, CA 92604, USA",Los Angeles,CA,(949) 552-0597,https://www.ralphs.com/stores/grocery/ca/irvine/alton-square/703/00154?cid=loc_70300154_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,595,4.2,False,True,2026-01-31,33.671973,-117.7897874,ChIJX7pyAaTd3IARSWN8lVnldt0
Ralphs,restaurants,"260 S La Brea Ave, Los Angeles, CA 90036, USA",Los Angeles,CA,(323) 937-3264,https://www.ralphs.com/stores/grocery/ca/los-angeles/la-brea/703/00039?cid=loc_70300039_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1087,4.2,False,True,2026-01-31,34.0699624,-118.3435114,ChIJq9sC39i4woARg_V5W7CPQ-s
Safeway,restaurants,"630 228th Ave NE, Sammamish, WA 98074, USA",Seattle,WA,(425) 868-4000,https://local.safeway.com/safeway/wa/sammamish/630-228th-ave-ne.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,622,4.2,False,True,2026-01-31,47.61521949999999,-122.0334793,ChIJnd3kX_RxkFQRikvUHKl9s3k
Safeway,restaurants,"3842 Bridgeport Way W, Tacoma, WA 98466, USA",Seattle,WA,(253) 565-6215,https://local.safeway.com/safeway/wa/tacoma/3842-bridgeport-way.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1425,4.1,True,False,2026-01-31,47.2216712,-122.5393458,ChIJVcWrSPOqkVQRmkZ8O7FYbsQ
Meijer,restaurants,"9200 S Western Ave, Evergreen Park, IL 60805, USA",Chicago,IL,(708) 499-8100,https://www.meijer.com/shopping/store-locator/265.html?cmpid=LM:Web::::05112021::GoogleGrocery,"department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3529,4.3,True,True,2026-01-31,41.7247519,-87.68505019999999,ChIJ05WuVkQlDogRWGLB0BgvXWc
Safeway,restaurants,"1978 Contra Costa Blvd, Pleasant Hill, CA 94523, USA",San Francisco,CA,(925) 688-0680,https://local.safeway.com/safeway/ca/pleasant-hill/1978-contra-costa-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,877,4.0,False,True,2026-01-31,37.948935,-122.0579308,ChIJyXW8GzhhhYAR_nSDMReO9ys
Trader Joe's,restaurants,"3745 N Lincoln Ave, Chicago, IL 60613, USA",Chicago,IL,(773) 248-4920,https://locations.traderjoes.com/il/chicago/688/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"establishment,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store,supermarket",100,Critical,2721,4.6,True,True,2026-01-31,41.9498851,-87.67514039999999,ChIJGzaZMkLSD4gRdbkdpeLGPuc
Jewel-Osco,restaurants,"2940 N Ashland Ave, Chicago, IL 60657, USA",Chicago,IL,(773) 871-8242,https://local.jewelosco.com/il/chicago/2940-n-ashland-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1436,4.2,False,True,2026-01-31,41.9353485,-87.67005920000001,ChIJ5Qmh3ffSD4gRu16ljKcINzw
