name,vertical,address,city,state,phone,website,types,lead_score,priority,review_count,rating,on_ubereats,on_grubhub,contact_by_date,latitude,longitude,place_id
Meijer,restaurants,"611 W Lincoln Hwy, Merrillville, IN 46410, USA",Chicago,IL,(219) 650-3700,https://www.meijer.com/shopping/store-locator/165.html?cmpid=LM:Web::::05112021::GoogleGrocery,"department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,4753,4.2,True,True,2026-01-31,41.4677978,-87.34595589999999,ChIJBdD5ACDvEYgR2zMlydxKRDE
Jewel-Osco,restaurants,"550 N State St, Chicago, IL 60654, USA",Chicago,IL,(312) 527-2162,https://local.jewelosco.com/il/chicago/550-n-state-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1731,4.1,True,False,2026-01-31,41.8922895,-87.62858399999999,ChIJJ9dviK0sDogRsKzwRyDblRk
Mariano's,restaurants,"3358 W Touhy Ave, Skokie, IL 60076, USA",Chicago,IL,(847) 763-8801,https://www.marianos.com/stores/grocery/il/skokie/marianos-skokie/531/00531?cid=loc_53100531_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1494,4.2,True,True,2026-01-31,42.0126071,-87.71417749999999,ChIJ1ZOOETTOD4gR_VDlKWiyFI0
Ralphs,restaurants,"14440 Burbank Blvd, Sherman Oaks, CA 91401, USA",Los Angeles,CA,(818) 989-5640,https://www.ralphs.com/stores/grocery/ca/sherman-oaks/van-nuys-burbank/703/00702?cid=loc_70300702_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1445,4.0,False,True,2026-01-31,34.1714675,-118.447171,ChIJrWGhRa6XwoAR8vNyl4rn2b4
Mariano's,restaurants,"333 E Benton Pl, Chicago, IL 60601, USA",Chicago,IL,(312) 228-1349,https://www.marianos.com/stores/grocery/il/chicago/marianos-lakeshore-east/531/00503?cid=loc_53100503_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,702,4.1,True,False,2026-01-31,41.8852691,-87.6184837,ChIJo9X181crDogRaEqrf4G9v7I
Jewel-Osco,restaurants,"1220 S Ashland Ave, Chicago, IL 60608, USA",Chicago,IL,(312) 733-0153,https://local.jewelosco.com/il/chicago/1220-s-ashland-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3511,4.1,True,True,2026-01-31,41.86591629999999,-87.668622,ChIJgZ_UMgUtDogRUJ1r21D89DY
Ralphs Fresh Fare,restaurants,"10772 Jefferson Blvd, Culver City, CA 90230, USA",Los Angeles,CA,(310) 839-4107,https://www.ralphs.com/stores/grocery/ca/culver-city/raintree-plaza/703/00284?cid=loc_70300284_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,598,4.2,True,False,2026-01-31,34.0023678,-118.3935481,ChIJyfNcfx26woARTRfCP-3ed-g
Ralphs Fresh Fare,restaurants,"17605 Harvard Ave, Irvine, CA 92614, USA",Los Angeles,CA,(949) 851-3161,https://www.ralphs.com/stores/grocery/ca/irvine/harvard-place/703/00080?cid=loc_70300080_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,749,4.3,False,True,2026-01-31,33.6771442,-117.83317,ChIJ4XJNGYDe3IARt7vGXfVav1Y
Ralphs Fresh Fare,restaurants,"500 N Pacific Coast Hwy, El Segundo, CA 90245, USA",Los Angeles,CA,(310) 615-0537,https://www.ralphs.com/stores/grocery/ca/el-segundo/e-el-segundo/703/00645?cid=loc_70300645_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1173,4.3,True,True,2026-01-31,33.9220531,-118.3955912,ChIJza7hd0uxwoARMdROQ1QVDnQ
Vons,restaurants,"301 N Pass Ave, Burbank, CA 91505, USA",Los Angeles,CA,(818) 848-9542,https://local.vons.com/ca/burbank/301-n-pass-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1141,4.2,True,True,2026-01-31,34.154867,-118.3465585,ChIJ9Zz8Vs2_woARaCJ2Q8gvygY
Ralphs Fresh Fare,restaurants,"14049 Ventura Blvd, Sherman Oaks, CA 91423, USA",Los Angeles,CA,(747) 233-6100,https://www.ralphs.com/stores/grocery/ca/sherman-oaks/sherman-oaks/703/00222?cid=loc_70300222_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1131,4.4,True,False,2026-01-31,34.1499568,-118.4391832,ChIJWZbfLi2WwoARtqTzdLfEI0o
Ralphs,restaurants,"1930 N Lakewood Blvd, Long Beach, CA 90815, USA",Los Angeles,CA,(562) 494-4371,https://www.ralphs.com/stores/grocery/ca/long-beach/traffic-circle/703/00186?cid=loc_70300186_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1096,4.3,False,True,2026-01-31,33.7921394,-118.1414312,ChIJy8JFaJEx3YARbP9S16uBcxk
Ralphs,restaurants,"1770 W Carson St, Torrance, CA 90501, USA",Los Angeles,CA,(310) 787-8786,https://www.ralphs.com/stores/grocery/ca/torrance/carson-abalone/703/00132?cid=loc_70300132_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1101,4.3,False,True,2026-01-31,33.830072,-118.3110835,ChIJrzt8U6NK3YARs7oNhFzNMqY
Ralphs,restaurants,"13321 South St, Cerritos, CA 90703, USA",Los Angeles,CA,(562) 860-5635,https://www.ralphs.com/stores/grocery/ca/cerritos/cerritos-plaza/703/00083?cid=loc_70300083_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,640,4.2,False,True,2026-01-31,33.8601104,-118.0475512,ChIJNdkFXkMs3YAR93nuq5lLbdk
QFC,restaurants,"4800 NE 4th St, Renton, WA 98059, USA",Seattle,WA,(425) 226-7086,https://www.qfc.com/stores/grocery/wa/renton/renton/705/00871?cid=loc_70500871_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,627,4.2,True,False,2026-01-31,47.4898837,-122.1549439,ChIJw_b0V9dnkFQR08P2Vgb7HQw
Vons,restaurants,"3461 W 3rd St, Los Angeles, CA 90020, USA",Los Angeles,CA,(213) 384-6552,https://local.vons.com/ca/los-angeles/3461-w-3rd-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3577,4.2,True,False,2026-01-31,34.0699603,-118.2908839,ChIJnQk-VGTHwoARWshCMCP50us
Key Food Supermarkets,restaurants,"656 Castle Hill Ave, Bronx, NY 10473, USA",New York,NY,(718) 824-3666,http://keyfood.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,545,4.0,True,True,2026-01-31,40.8201256,-73.8479085,ChIJd5UCUdH0wokR2UXWj7TSujY
WinCo Foods,restaurants,"21900 Hwy 99, Edmonds, WA 98026, USA",Seattle,WA,(425) 697-1052,https://wincofoods.com/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3724,4.5,False,True,2026-01-31,47.8007295,-122.3333075,ChIJJ7AXS6MakFQRv9jcOe5OUz0
Made In New York Pizza,restaurants,"421 Amsterdam Ave, New York, NY 10024, USA",New York,NY,(646) 484-6200,https://www.madeinnewyorkpizza.com/,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,1220,4.6,True,True,2026-01-31,40.7838392,-73.9775697,ChIJL-LN1N1ZwokR8K2jACu6Ydw
Safeway,restaurants,"1655 El Camino Real, San Mateo, CA 94402, USA",San Francisco,CA,(650) 341-0374,https://local.safeway.com/safeway/ca/san-mateo/1655-el-camino-real.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1749,4.0,True,False,2026-01-31,37.5532143,-122.3136738,ChIJmxWz6V6ej4ARd6QJAY23jUA
Safeway,restaurants,"3540 Mount Diablo Blvd, Lafayette, CA 94549, USA",San Francisco,CA,(925) 283-0228,https://local.safeway.com/safeway/ca/lafayette/3540-mt-diablo-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,734,4.0,False,True,2026-01-31,37.8928578,-122.1194644,ChIJoWtohVpihYARibkAnaicdvo
Safeway,restaurants,"325 Sharon Park Dr, Menlo Park, CA 94025, USA",San Francisco,CA,(650) 854-3056,https://local.safeway.com/safeway/ca/menlo-park/325-s-sharon-park-dr.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,556,4.0,False,True,2026-01-31,37.4234422,-122.1970037,ChIJPd8zEN6kj4ARUeePpA8i7WE
Safeway,restaurants,"525 El Camino Real, Menlo Park, CA 94025, USA",San Francisco,CA,(650) 847-2901,https://local.safeway.com/safeway/ca/menlo-park/525-el-camino-real.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2123,4.3,True,False,2026-01-31,37.4505321,-122.1791572,ChIJ33JzmLOkj4ARisZhlgHYIYE
Safeway,restaurants,"710 Bancroft Rd, Walnut Creek, CA 94598, USA",San Francisco,CA,(925) 937-8537,https://local.safeway.com/safeway/ca/walnut-creek/710-bancroft-rd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,817,4.2,False,True,2026-01-31,37.9281981,-122.0393425,ChIJyUasNQBhhYAR-X6ZroOvnco
Safeway,restaurants,"301 Marysville Mall #60, Marysville, WA 98270, USA",Seattle,WA,(360) 659-5841,https://local.safeway.com/safeway/wa/marysville/301-marysville-mall-60.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1267,4.1,False,True,2026-01-31,48.0508707,-122.1795564,ChIJJee_lIVUhVQRTwWNuSCN5A8
WinCo Foods,restaurants,"160 SW Campus Dr, Federal Way, WA 98003, USA",Seattle,WA,(253) 838-7109,https://wincofoods.com/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2712,4.4,False,True,2026-01-31,47.292525,-122.336179,ChIJ0-CZObNXkFQRrivgZDp2nls
Safeway,restaurants,"70 Cabrillo Hwy N, Half Moon Bay, CA 94019, USA",San Francisco,CA,(650) 726-1143,https://local.safeway.com/safeway/ca/half-moon-bay/70-cabrillo-hwy.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,720,4.1,True,True,2026-01-31,37.4692702,-122.4361387,ChIJR2KTi7J0j4ARYKLS3pms4jc
Safeway,restaurants,"11501 Canyon Rd E, Puyallup, WA 98373, USA",Seattle,WA,(253) 536-4792,https://local.safeway.com/safeway/wa/puyallup/11501-canyon-rd-e.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2624,4.1,True,False,2026-01-31,47.1518512,-122.3552514,ChIJbwjbvev9kFQRUd3oVrEjx_0
Safeway,restaurants,"6688 Alhambra Ave, Martinez, CA 94553, USA",San Francisco,CA,(925) 933-0540,https://local.safeway.com/safeway/ca/martinez/6688-alhambra-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,627,4.1,True,False,2026-01-31,37.9579261,-122.0939505,ChIJFdVUtBpkhYARinhQ3b4eLkc
Ralphs,restaurants,"670 S Western Ave, Los Angeles, CA 90005, USA",Los Angeles,CA,(213) 383-5058,https://www.ralphs.com/stores/grocery/ca/los-angeles/wiltern/703/00016?cid=loc_70300016_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1741,4.1,True,False,2026-01-31,34.0600458,-118.3085512,ChIJaz46A4W4woARM1iwC0URPD0
Safeway,restaurants,"921 E Hillsdale Blvd, Foster City, CA 94404, USA",San Francisco,CA,(650) 377-0711,https://local.safeway.com/safeway/ca/foster-city/921-e-hillsdale-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1237,4.2,True,True,2026-01-31,37.5568552,-122.2757994,ChIJ3c8EZtCej4ARPx3neXP_4R0
Safeway,restaurants,"2800 Ygnacio Valley Rd, Walnut Creek, CA 94598, USA",San Francisco,CA,(925) 948-2283,https://local.safeway.com/safeway/ca/walnut-creek/2800-ygnacio-valley-rd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1058,4.4,True,True,2026-01-31,37.9272484,-122.0185483,ChIJ40s1z11ghYAR61wCDBhfcww
Safeway,restaurants,"2600 Willow Pass Rd, Concord, CA 94519, USA",San Francisco,CA,(925) 689-3240,https://local.safeway.com/safeway/ca/concord/2600-willow-pass-rd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2136,4.1,False,True,2026-01-31,37.9782215,-122.0282109,ChIJC_ZoaSVnhYARLMmMa3zm7QA
QFC,restaurants,"11100 Roosevelt Way NE, Seattle, WA 98125, USA",Seattle,WA,(206) 361-4849,https://www.qfc.com/stores/grocery/wa/seattle/northgate/705/00866?cid=loc_70500866_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,924,4.0,True,True,2026-01-31,47.70940450000001,-122.3171935,ChIJscNhs1kRkFQRgzWW3rh3mYs
WinCo Foods,restaurants,"9900 19th Ave SE, Everett, WA 98208, USA",Seattle,WA,(425) 740-2208,http://www.wincofoods.com/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3571,4.5,True,False,2026-01-31,47.908383,-122.208621,ChIJc4HfzCkHkFQRFp10x_KMYV4
Safeway,restaurants,"300 Bellevue Way NE, Bellevue, WA 98004, USA",Seattle,WA,(425) 749-3885,https://local.safeway.com/safeway/wa/bellevue/300-bellevue-way-ne.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2278,4.3,True,True,2026-01-31,47.6130672,-122.200964,ChIJ55QQpIdskFQRmIcPnF7hHyc
QFC,restaurants,"11700 Mukilteo Speedway, Mukilteo, WA 98275, USA",Seattle,WA,(425) 290-6166,https://www.qfc.com/stores/grocery/wa/mukilteo/harbour-pointe/705/00832?cid=loc_70500832_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,562,4.2,True,False,2026-01-31,47.8911525,-122.2879064,ChIJ9TrT5fcDkFQRgNVBRxLuflE
Safeway,restaurants,"46848 Mission Blvd, Fremont, CA 94539, USA",San Francisco,CA,(510) 497-1003,https://local.safeway.com/safeway/ca/fremont/46848-mission-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1552,4.1,True,False,2026-01-31,37.4896436,-121.9274557,ChIJZYFdHkPGj4ARSQ2sRvpqL8o
Ralphs,restaurants,"2600 S Vermont Ave, Los Angeles, CA 90007, USA",Los Angeles,CA,(323) 732-3863,https://www.ralphs.com/stores/grocery/ca/los-angeles/renaissance-plaza/703/00294?cid=loc_70300294_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,2819,4.3,False,True,2026-01-31,34.0318453,-118.2907927,ChIJE1TNSvLHwoARNK8JeIKSP4k
Ralphs,restaurants,"211 N Glendale Ave, Glendale, CA 91206, USA",Los Angeles,CA,(818) 549-0035,https://www.ralphs.com/stores/grocery/ca/glendale/glendale-wilson/703/00134?cid=loc_70300134_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,662,4.2,False,True,2026-01-31,34.1484897,-118.2484205,ChIJf9t8darBwoARUZ9pjFi_rPI
Vons,restaurants,"4520 Sunset Blvd, Los Angeles, CA 90027, USA",Los Angeles,CA,(323) 662-8107,https://local.vons.com/ca/los-angeles/4520-sunset-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2730,4.2,True,False,2026-01-31,34.0970657,-118.287983,ChIJ1zUA9k6_woARn56C3cZ-Yps
Ralphs,restaurants,"1435 W Chapman Ave, Orange, CA 92868, USA",Los Angeles,CA,(714) 634-2905,https://www.ralphs.com/stores/grocery/ca/orange/chapman-main-center/703/00008?cid=loc_70300008_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1097,4.2,True,False,2026-01-31,33.7888847,-117.8683236,ChIJOQg7u9fZ3IARrM4R0ESLupc
Fine Fare Supermarkets,restaurants,"4772 Broadway, New York, NY 10034, USA",New York,NY,(212) 304-1858,http://www.finefaresupermarkets.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,937,4.0,False,True,2026-01-31,40.8655982,-73.9264914,ChIJ23e-cPjzwokRtNDn20ldxFk
Seafood City Supermarket,restaurants,"5033 N Elston Ave, Chicago, IL 60630, USA",Chicago,IL,(773) 295-1658,http://www.seafoodcity.com/,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3869,4.3,False,True,2026-01-31,41.9728129,-87.7455798,ChIJbYNKuSjMD4gRY9dX82EsooU
Safeway,restaurants,"6790 Bernal Ave, Pleasanton, CA 94566, USA",San Francisco,CA,(925) 846-8644,https://local.safeway.com/safeway/ca/pleasanton/6790-bernal-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1032,4.3,True,True,2026-01-31,37.6560809,-121.899526,ChIJ3UBi4inqj4ARFv8YHsLIdUE
Safeway,restaurants,"707 Contra Costa Blvd, Pleasant Hill, CA 94523, USA",San Francisco,CA,(925) 689-2044,https://local.safeway.com/safeway/ca/pleasant-hill/707-contra-costa-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1484,4.1,True,True,2026-01-31,37.9710644,-122.0615782,ChIJQ3zdIbxmhYARfY6bR1rpGT4
Safeway,restaurants,"1 Camino Alto, Mill Valley, CA 94941, USA",San Francisco,CA,(415) 388-6216,https://local.safeway.com/safeway/ca/mill-valley/1-camino-alto.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,564,4.0,True,False,2026-01-31,37.894087,-122.5313172,ChIJZVXlQqyahYARMnpM0BnGxXU
Safeway,restaurants,"2505 San Ramon Valley Blvd, San Ramon, CA 94583, USA",San Francisco,CA,(925) 831-9515,https://local.safeway.com/safeway/ca/san-ramon/2505-san-ramon-valley-blvd.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,897,4.2,False,True,2026-01-31,37.7731996,-121.9768882,ChIJF0bBqLjyj4ARpd6Hx0EaEZ4
Ralphs Fresh Fare,restaurants,"1644 Cloverfield Blvd, Santa Monica, CA 90404, USA",Los Angeles,CA,(310) 582-3900,https://www.ralphs.com/stores/grocery/ca/santa-monica/olympic-cloverfield/703/00292?cid=loc_70300292_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,952,4.1,True,True,2026-01-31,34.0270416,-118.4738669,ChIJ2RSXwDm7woARhyezMN2hPSU
Safeway,restaurants,"14020 Main St NE, Duvall, WA 98019, USA",Seattle,WA,(425) 844-1188,https://local.safeway.com/safeway/wa/duvall/14020-main-st-ne.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,962,4.0,True,True,2026-01-31,47.7263019,-121.9846934,ChIJCc8xsysLkFQRS8H3qJmkuB4
Safeway,restaurants,"900 Meridian Ave E Suite 12, Milton, WA 98354, USA",Seattle,WA,(253) 927-2332,https://local.safeway.com/safeway/wa/milton/900-e-meridian-ave-suite-12.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2073,4.1,True,True,2026-01-31,47.2489006,-122.2958928,ChIJxyiTX_H4kFQRaEMjo8SrS9I
Safeway,restaurants,"19651 US-2, Monroe, WA 98272, USA",Seattle,WA,(360) 794-9292,https://local.safeway.com/safeway/wa/monroe/19651-hwy-2.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1736,4.2,False,True,2026-01-31,47.8600292,-121.9676364,ChIJX2oBCfammlQRWSPSVb2bntw
Food 4 Less,restaurants,"3039 S Cicero Ave, Cicero, IL 60804, USA",Chicago,IL,(708) 652-4257,https://www.food4less.com/stores/grocery/il/cicero/31st-cicero/708/00551?cid=loc_70800551_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1014,4.1,True,True,2026-01-31,41.8376472,-87.74120719999999,ChIJG8aUB8ozDogRwYVAPzVL440
Ralphs,restaurants,"18405 Brookhurst St, Fountain Valley, CA 92708, USA",Los Angeles,CA,(714) 964-7566,https://www.ralphs.com/stores/grocery/ca/fountain-valley/fountain-valley-promenande/703/00059?cid=loc_70300059_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,766,4.3,True,False,2026-01-31,33.6953784,-117.9559135,ChIJeXbk0jAn3YARpyvMxU_KWZ0
Jewel-Osco,restaurants,"333 E Euclid Ave, Mt Prospect, IL 60056, USA",Chicago,IL,(847) 394-9390,https://local.jewelosco.com/il/mount-prospect/333-e-euclid-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,975,4.2,True,True,2026-01-31,42.0873539,-87.93095600000001,ChIJQadJXIi5D4gRKYz0DMk-GsM
Safeway,restaurants,"6310 College Ave, Oakland, CA 94618, USA",San Francisco,CA,(510) 985-0012,https://local.safeway.com/safeway/ca/oakland/6310-college-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1743,4.0,True,True,2026-01-31,37.85058,-122.2521213,ChIJCYYAFMV9hYARmJORQa4TX58
Meijer,restaurants,"15701 71st Ct, Orland Park, IL 60462, USA",Chicago,IL,(708) 342-9900,https://www.meijer.com/shopping/store-locator/262.html?cmpid=LM:Web::::05112021::GoogleGrocery,"department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1727,4.2,False,True,2026-01-31,41.6047783,-87.7909497,ChIJMa3QA2k-DogRIKCDcfQWMsY
Ralphs,restaurants,"4760 W Pico Blvd, Los Angeles, CA 90019, USA",Los Angeles,CA,(323) 937-4107,https://www.ralphs.com/stores/grocery/ca/los-angeles/pico-san-vincente/703/00291?cid=loc_70300291_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1223,4.2,True,False,2026-01-31,34.0477879,-118.3394191,ChIJGS1WRfm4woARstuA8hLHW8k
Jewel-Osco,restaurants,"1224 S Wabash Ave, Chicago, IL 60605, USA",Chicago,IL,(312) 663-0580,https://local.jewelosco.com/il/chicago/1224-s-wabash-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3804,4.1,True,False,2026-01-31,41.866463,-87.6262491,ChIJl69B35osDogR5VbyA6Qtvog
